trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-272.4193925726103,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,2,-123.04281439291357,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-160.96712224101756,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-70.06521986023115,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-238.1234753959851,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-94.43268286806236,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-92.40370679652911,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,8,-81.33947815837755,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,12,-14.626835133020297,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-45.194208792651004,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-112.2622853838957,"{0: 20, 1: 0, 2: 0, 3: 3, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-36.92300647009659,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-199.91525557102574,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-15.314667979008002,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,4.4817150212393395,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,0.13764638154690867,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,2,-13.690430281451555,"{0: 28, 1: 2, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-9.909068004654534,"{0: 25, 1: 3, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-65.7988516453635,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-29.170294815213644,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,2,-3.495690405149139,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,3,43.53241913940509,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,5,-7.362797452125892,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",35,2,-44.1613854631997,"{0: 30, 1: 1, 2: 0, 3: 0, 4: 2}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-72.0533541127984,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,16,5.210942655682436,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,15,-24.633821239396532,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,0,22.942953298692697,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-3.795387750453692,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,3,19.17095558947139,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 0}",1
