trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",30,0,-183.6040416183004,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.2, 'e': 0.9801986733067553}",20,0,-74.55717457787877,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.9607894391523232}",20,0,-136.96275726799877,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.2, 'e': 0.9417645335842487}",20,0,-88.09169017099168,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.9231163463866358}",20,0,-145.22861204888622,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
6,False,"{'a': 0.2, 'e': 0.9048374180359595}",25,0,-70.26321011118269,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.2, 'e': 0.8869204367171575}",25,0,-190.12737206611862,"{0: 9, 1: 6, 2: 7, 3: 1, 4: 2}",0
8,False,"{'a': 0.2, 'e': 0.8693582353988059}",25,0,-92.44876926429865,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.8521437889662113}",25,0,-109.77111341586135,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.835270211411272}",25,0,-71.79374283862667,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.2, 'e': 0.8187307530779818}",20,0,-62.54660021579116,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.8025187979624785}",20,0,-98.61330154588897,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.2, 'e': 0.7866278610665535}",30,0,-299.9684694427814,"{0: 12, 1: 1, 2: 9, 3: 5, 4: 3}",0
14,False,"{'a': 0.2, 'e': 0.7710515858035663}",20,0,-15.197094989138028,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
