trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-195.8507685976037,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.732431381639614,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.79011929259683,"{0: 19, 1: 0, 2: 2, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.4632854788454,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.0305923780014,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.84912437193518,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-132.9015379146696,"{0: 16, 1: 4, 2: 9, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.692311730663768,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-72.52537902465005,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.84602389541823,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.95029387421664,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.61300993498216,"{0: 12, 1: 6, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.00134723302656,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.73502460114332,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-180.9246542138384,"{0: 19, 1: 0, 2: 6, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.02716720940643,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,9,-8.360195697721993,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.24151044422536,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.03782492695018,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.7861453596164,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-141.45794643842544,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.96394781423676,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.18404917719005,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-184.35853502502079,"{0: 10, 1: 1, 2: 3, 3: 4, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-178.17897237731466,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.42852240304859,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-73.50588345328441,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-221.5072518290241,"{0: 17, 1: 3, 2: 3, 3: 4, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-70.6694449174098,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-117.33410768957981,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
11,True,"{'a': 0.5, 'e': 1.0}",30,0,-135.88360895897983,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
12,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.81102005025112,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.41221401699937,"{0: 13, 1: 1, 2: 2, 3: 4, 4: 0}",0
14,True,"{'a': 0.5, 'e': 1.0}",25,0,-213.44208299743062,"{0: 10, 1: 3, 2: 9, 3: 0, 4: 3}",0
15,True,"{'a': 0.5, 'e': 1.0}",25,0,-228.93241429032688,"{0: 10, 1: 3, 2: 8, 3: 1, 4: 3}",0
16,True,"{'a': 0.5, 'e': 1.0}",20,0,-76.39608684883784,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
17,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.27863319047944,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
18,True,"{'a': 0.5, 'e': 1.0}",30,0,-127.14278032196349,"{0: 19, 1: 0, 2: 9, 3: 1, 4: 1}",0
19,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.08747187104392,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
20,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.13362487516386,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
